Month,Year,Total_Rainfall
1,2014,75.4
2,2014,0.2
3,2014,66
4,2014,110
5,2014,125.8
6,2014,71.4
7,2014,148.6
8,2014,241
9,2014,83.6
10,2014,120
11,2014,250.8
12,2014,245.6
1,2015,79.6
2,2015,18.8
3,2015,84.4
4,2015,73.2
5,2015,89
6,2015,95.8
7,2015,116.8
8,2015,185.8
9,2015,61.6
10,2015,87.2
11,2015,72.6
12,2015,302.3
1,2016,127
2,2016,186
3,2016,6
4,2016,90
5,2016,194
6,2016,163
7,2016,168
8,2016,139
9,2016,119
10,2016,181
11,2016,290
12,2016,292
1,2017,197
2,2017,158
3,2017,136
4,2017,208
5,2017,190
6,2017,106
7,2017,79
8,2017,84
9,2017,124
10,2017,120
11,2017,268
12,2017,371
1,2018,287
2,2018,14
3,2018,44
4,2018,61
5,2018,132
6,2018,182
7,2018,143
8,2018,121
9,2018,144
10,2018,234
11,2018,169
12,2018,173
1,2019,64
2,2019,32
3,2019,72
4,2019,175
5,2019,69
6,2019,174
7,2019,12
8,2019,12
9,2019,23
10,2019,177
11,2019,137
12,2019,422
