Week,Month,Year,Case per Week,Case per Month,Case per Year
1,January,2014,437,1888,18347
2,January,2014,479,,
3,January,2014,402,,
4,January,2014,336,,
5,January,2014,234,,
6,February,2014,274,1024,
7,February,2014,369,,
8,February,2014,194,,
9,February,2014,187,,
10,March,2014,210,870,
11,March,2014,225,,
12,March,2014,210,,
13,March,2014,225,,
14,April,2014,240,1004,
15,April,2014,247,,
16,April,2014,235,,
17,April,2014,282,,
18,May,2014,251,1689,
19,May,2014,261,,
20,May,2014,292,,
21,May,2014,429,,
22,May,2014,456,,
23,June,2014,459,2193,
24,June,2014,506,,
25,June,2014,552,,
26,June,2014,676,,
27,July,2014,891,3575,
28,July,2014,819,,
29,July,2014,746,,
30,July,2014,635,,
31,July,2014,484,,
32,August,2014,545,1772,
33,August,2014,442,,
34,August,2014,418,,
35,August,2014,367,,
36,September,2014,339,1445,
37,September,2014,363,,
38,September,2014,397,,
39,September,2014,346,,
40,October,2014,339,1315,
41,October,2014,280,,
42,October,2014,297,,
43,October,2014,213,,
44,October,2014,186,,
45,November,2014,169,639,
46,November,2014,159,,
47,November,2014,149,,
48,November,2014,162,,
49,December,2014,212,933,
50,December,2014,177,,
51,December,2014,198,,
52,December,2014,346,,
1,January,2015,257,981,11296
2,January,2015,228,,
3,January,2015,237,,
4,January,2015,259,,
5,February,2015,212,656,
6,February,2015,172,,
7,February,2015,100,,
8,February,2015,172,,
9,March,2015,190,521,
10,March,2015,110,,
11,March,2015,91,,
12,March,2015,130,,
13,April,2015,91,448,
14,April,2015,107,,
15,April,2015,137,,
16,April,2015,113,,
17,May,2015,119,853,
18,May,2015,135,,
19,May,2015,158,,
20,May,2015,109,,
21,May,2015,180,,
22,May,2015,152,,
23,June,2015,193,883,
24,June,2015,208,,
25,June,2015,240,,
26,June,2015,242,,
27,July,2015,272,1078,
28,July,2015,263,,
29,July,2015,293,,
30,July,2015,250,,
31,August,2015,226,922,
32,August,2015,221,,
33,August,2015,250,,
34,August,2015,225,,
35,September,2015,246,1237,
36,September,2015,217,,
37,September,2015,303,,
38,September,2015,214,,
39,September,2015,257,,
40,October,2015,235,940,
41,October,2015,235,,
42,October,2015,224,,
43,October,2015,246,,
44,November,2015,266,1001,
45,November,2015,198,,
46,November,2015,254,,
47,November,2015,283,,
48,December,2015,259,1776,
49,December,2015,357,,
50,December,2015,333,,
51,December,2015,369,,
52,December,2015,458,,
1,January,2016,546,2427,13115
2,January,2016,620,,
3,January,2016,637,,
4,January,2016,624,,
5,February,2016,525,2046,
6,February,2016,419,,
7,February,2016,590,,
8,February,2016,512,,
9,March,2016,412,1864,
10,March,2016,396,,
11,March,2016,373,,
12,March,2016,306,,
13,March,2016,377,,
14,April,2016,291,986,
15,April,2016,224,,
16,April,2016,229,,
17,April,2016,242,,
18,May,2016,180,1022,
19,May,2016,216,,
20,May,2016,212,,
21,May,2016,198,,
22,May,2016,216,,
23,June,2016,158,799,
24,June,2016,193,,
25,June,2016,214,,
26,June,2016,234,,
27,July,2016,246,956,
28,July,2016,223,,
29,July,2016,266,,
30,July,2016,221,,
31,August,2016,210,1208,
32,August,2016,198,,
33,August,2016,221,,
34,August,2016,271,,
35,August,2016,308,,
36,September,2016,241,723,
37,September,2016,174,,
38,September,2016,173,,
39,September,2016,135,,
40,October,2016,124,407,
41,October,2016,94,,
42,October,2016,107,,
43,October,2016,82,,
44,November,2016,85,401,
45,November,2016,84,,
46,November,2016,71,,
47,November,2016,75,,
48,November,2016,86,,
49,December,2016,59,276,
50,December,2016,81,,
51,December,2016,72,,
52,December,2016,64,,
1,January,2017,70,298,2772
2,January,2017,91,,
3,January,2017,74,,
4,January,2017,63,,
5,February,2017,62,246,
6,February,2017,77,,
7,February,2017,53,,
8,February,2017,54,,
9,March,2017,41,190,
10,March,2017,32,,
11,March,2017,35,,
12,March,2017,32,,
13,March,2017,50,,
14,April,2017,37,158,
15,April,2017,32,,
16,April,2017,51,,
17,April,2017,38,,
18,May,2017,42,256,
19,May,2017,48,,
20,May,2017,50,,
21,May,2017,50,,
22,May,2017,66,,
23,June,2017,62,290,
